City,District
Quảng Trị,Huyện Hải Lăng
Quảng Trị,Huyện Cồn Cỏ
Thừa Thiên Huế, Huế
Thừa Thiên Huế,Huyện Phong Điền
Thừa Thiên Huế,Huyện Quảng Điền
Thừa Thiên Huế,Huyện Phú Vang
Thừa Thiên Huế,Thị xã Hương Thủy
Thừa Thiên Huế,Thị xã Hương Trà
Thừa Thiên Huế,Huyện A Lưới
Thừa Thiên Huế,Huyện Phú Lộc
Thừa Thiên Huế,Huyện Nam Đông
Đà Nẵng,Quận Liên Chiểu
Đà Nẵng,Quận Thanh Khê
Đà Nẵng,Quận Hải Châu
Đà Nẵng,Quận Sơn Trà
Đà Nẵng,Quận Ngũ Hành Sơn
Đà Nẵng,Quận Cẩm Lệ
Đà Nẵng,Huyện Hòa Vang
Đà Nẵng,Huyện Hoàng Sa
Quảng Nam, Tam Kỳ
Quảng Nam, Hội An
Quảng Nam,Huyện Tây Giang
Quảng Nam,Huyện Đông Giang
Quảng Nam,Huyện Đại Lộc
Quảng Nam,Thị xã Điện Bàn
Quảng Nam,Huyện Duy Xuyên
Quảng Nam,Huyện Quế Sơn
Quảng Nam,Huyện Nam Giang
Quảng Nam,Huyện Phước Sơn
Quảng Nam,Huyện Hiệp Đức
Quảng Nam,Huyện Thăng Bình
Quảng Nam,Huyện Tiên Phước
Quảng Nam,Huyện Bắc Trà My
Quảng Nam,Huyện Nam Trà My
Quảng Nam,Huyện Núi Thành
Quảng Nam,Huyện Phú Ninh
Quảng Nam,Huyện Nông Sơn
Quảng Ngãi, Quảng Ngãi
Quảng Ngãi,Huyện Bình Sơn
Quảng Ngãi,Huyện Trà Bồng
Quảng Ngãi,Huyện Sơn Tịnh
Quảng Ngãi,Huyện Tư Nghĩa
Quảng Ngãi,Huyện Sơn Hà
Quảng Ngãi,Huyện Sơn Tây
Quảng Ngãi,Huyện Minh Long
Quảng Ngãi,Huyện Nghĩa Hành
Quảng Ngãi,Huyện Mộ Đức
Quảng Ngãi,Thị xã Đức Phổ
Quảng Ngãi,Huyện Ba Tơ
Quảng Ngãi,Huyện Lý Sơn
Bình Định, Quy Nhơn
Bình Định,Huyện An Lão
Bình Định,Thị xã Hoài Nhơn
Bình Định,Huyện Hoài Ân
Bình Định,Huyện Phù Mỹ
Bình Định,Huyện Vĩnh Thạnh
Bình Định,Huyện Tây Sơn
Bình Định,Huyện Phù Cát
Bình Định,Thị xã An Nhơn
Bình Định,Huyện Tuy Phước
Bình Định,Huyện Vân Canh
Phú Yên, Tuy Hoà
Phú Yên,Thị xã Sông Cầu
Phú Yên,Huyện Đồng Xuân
Phú Yên,Huyện Tuy An
Phú Yên,Huyện Sơn Hòa
Phú Yên,Huyện Sông Hinh
Phú Yên,Huyện Tây Hoà
Phú Yên,Huyện Phú Hoà
Phú Yên,Thị xã Đông Hòa
Khánh Hòa, Nha Trang
Khánh Hòa, Cam Ranh
Khánh Hòa,Huyện Cam Lâm
Khánh Hòa,Huyện Vạn Ninh
Khánh Hòa,Thị xã Ninh Hòa
Khánh Hòa,Huyện Khánh Vĩnh
Khánh Hòa,Huyện Diên Khánh
Khánh Hòa,Huyện Khánh Sơn
Khánh Hòa,Huyện Trường Sa
Ninh Thuận, Phan Rang-Tháp Chàm
Ninh Thuận,Huyện Bác Ái
Ninh Thuận,Huyện Ninh Sơn
Ninh Thuận,Huyện Ninh Hải
Ninh Thuận,Huyện Ninh Phước
Ninh Thuận,Huyện Thuận Bắc
Ninh Thuận,Huyện Thuận Nam
Bình Thuận, Phan Thiết
Bình Thuận,Thị xã La Gi
Bình Thuận,Huyện Tuy Phong
Bình Thuận,Huyện Bắc Bình
Bình Thuận,Huyện Hàm Thuận Bắc
Bình Thuận,Huyện Hàm Thuận Nam
Bình Thuận,Huyện Tánh Linh
Bình Thuận,Huyện Đức Linh
Bình Thuận,Huyện Hàm Tân
Bình Thuận,Huyện Phú Quí
Kon Tum, Kon Tum
Kon Tum,Huyện Đắk Glei
Kon Tum,Huyện Ngọc Hồi
Kon Tum,Huyện Đắk Tô
Kon Tum,Huyện Kon Plông
Kon Tum,Huyện Kon Rẫy
Kon Tum,Huyện Đắk Hà
Kon Tum,Huyện Sa Thầy
Kon Tum,Huyện Tu Mơ Rông
Kon Tum,Huyện Ia H' Drai
Gia Lai, Pleiku
Gia Lai,Thị xã An Khê
Gia Lai,Thị xã Ayun Pa
Gia Lai,Huyện KBang
Gia Lai,Huyện Đăk Đoa
Gia Lai,Huyện Chư Păh
Gia Lai,Huyện Ia Grai
Gia Lai,Huyện Mang Yang
Gia Lai,Huyện Kông Chro
Gia Lai,Huyện Đức Cơ
Gia Lai,Huyện Chư Prông
Gia Lai,Huyện Chư Sê
Gia Lai,Huyện Đăk Pơ
Gia Lai,Huyện Ia Pa
Gia Lai,Huyện Krông Pa
Gia Lai,Huyện Phú Thiện
Gia Lai,Huyện Chư Pưh
Đắk Lắk, Buôn Ma Thuột
Đắk Lắk,Thị Xã Buôn Hồ
Đắk Lắk,Huyện Ea H'leo
Đắk Lắk,Huyện Ea Súp
Đắk Lắk,Huyện Buôn Đôn
Đắk Lắk,Huyện Cư M'gar
Đắk Lắk,Huyện Krông Búk
Đắk Lắk,Huyện Krông Năng
Đắk Lắk,Huyện Ea Kar
Đắk Lắk,Huyện M'Đrắk
Đắk Lắk,Huyện Krông Bông
Đắk Lắk,Huyện Krông Pắc
Đắk Lắk,Huyện Krông A Na
Đắk Lắk,Huyện Lắk
Đắk Lắk,Huyện Cư Kuin
Đắk Nông, Gia Nghĩa
Đắk Nông,Huyện Đăk Glong
Đắk Nông,Huyện Cư Jút
Đắk Nông,Huyện Đắk Mil
Đắk Nông,Huyện Krông Nô
Đắk Nông,Huyện Đắk Song
Đắk Nông,Huyện Đắk R'Lấp
Đắk Nông,Huyện Tuy Đức
Lâm Đồng, Đà Lạt
Lâm Đồng, Bảo Lộc
Lâm Đồng,Huyện Đam Rông
Lâm Đồng,Huyện Lạc Dương
Lâm Đồng,Huyện Lâm Hà
Lâm Đồng,Huyện Đơn Dương
Lâm Đồng,Huyện Đức Trọng
Lâm Đồng,Huyện Di Linh
Lâm Đồng,Huyện Bảo Lâm
Lâm Đồng,Huyện Đạ Huoai
Lâm Đồng,Huyện Đạ Tẻh
Lâm Đồng,Huyện Cát Tiên
Bình Phước,Thị xã Phước Long
Bình Phước, Đồng Xoài
Bình Phước,Thị xã Bình Long
Bình Phước,Huyện Bù Gia Mập
Bình Phước,Huyện Lộc Ninh
Bình Phước,Huyện Bù Đốp
Bình Phước,Huyện Hớn Quản
Bình Phước,Huyện Đồng Phú
Bình Phước,Huyện Bù Đăng
Bình Phước,Huyện Chơn Thành
Bình Phước,Huyện Phú Riềng
Tây Ninh, Tây Ninh
Tây Ninh,Huyện Tân Biên
Tây Ninh,Huyện Tân Châu
Tây Ninh,Huyện Dương Minh Châu
Tây Ninh,Huyện Châu Thành
Tây Ninh,Thị xã Hòa Thành
Tây Ninh,Huyện Gò Dầu
Tây Ninh,Huyện Bến Cầu
Tây Ninh,Thị xã Trảng Bàng
Bình Dương, Thủ Dầu Một
Bình Dương,Huyện Bàu Bàng
Bình Dương,Huyện Dầu Tiếng
Bình Dương,Thị xã Bến Cát
Bình Dương,Huyện Phú Giáo
Bình Dương,Thị xã Tân Uyên
Bình Dương, Dĩ An
Bình Dương, Thuận An
Bình Dương,Huyện Bắc Tân Uyên
Đồng Nai, Biên Hòa
Đồng Nai, Long Khánh
Đồng Nai,Huyện Tân Phú
Đồng Nai,Huyện Vĩnh Cửu
Đồng Nai,Huyện Định Quán
Đồng Nai,Huyện Trảng Bom
Đồng Nai,Huyện Thống Nhất
Đồng Nai,Huyện Cẩm Mỹ
Đồng Nai,Huyện Long Thành
Đồng Nai,Huyện Xuân Lộc
Đồng Nai,Huyện Nhơn Trạch
Bà Rịa - Vũng Tàu, Vũng Tàu
Bà Rịa - Vũng Tàu, Bà Rịa
Bà Rịa - Vũng Tàu,Huyện Châu Đức
Bà Rịa - Vũng Tàu,Huyện Xuyên Mộc
Bà Rịa - Vũng Tàu,Huyện Long Điền
Bà Rịa - Vũng Tàu,Huyện Đất Đỏ
Bà Rịa - Vũng Tàu,Thị xã Phú Mỹ
Bà Rịa - Vũng Tàu,Huyện Côn Đảo
TP HCM,Quận 1
TP HCM,Quận 12
TP HCM,Quận Gò Vấp
TP HCM,Quận Bình Thạnh
TP HCM,Quận Tân Bình
TP HCM,Quận Tân Phú
TP HCM,Quận Phú Nhuận
TP HCM, Thủ Đức
TP HCM,Quận 3
TP HCM,Quận 10
TP HCM,Quận 11
TP HCM,Quận 4
TP HCM,Quận 5
TP HCM,Quận 6
TP HCM,Quận 8
TP HCM,Quận Bình Tân
TP HCM,Quận 7
TP HCM,Huyện Củ Chi
TP HCM,Huyện Hóc Môn
TP HCM,Huyện Bình Chánh
TP HCM,Huyện Nhà Bè
TP HCM,Huyện Cần Giờ
Long An, Tân An
Long An,Thị xã Kiến Tường
Long An,Huyện Tân Hưng
Long An,Huyện Vĩnh Hưng
Long An,Huyện Mộc Hóa
Long An,Huyện Tân Thạnh
Long An,Huyện Thạnh Hóa
Long An,Huyện Đức Huệ
Long An,Huyện Đức Hòa
Long An,Huyện Bến Lức
Long An,Huyện Thủ Thừa
Long An,Huyện Tân Trụ
Long An,Huyện Cần Đước
Long An,Huyện Cần Giuộc
Long An,Huyện Châu Thành
Tiền Giang, Mỹ Tho
Tiền Giang,Thị xã Gò Công
Tiền Giang,Thị xã Cai Lậy
Tiền Giang,Huyện Tân Phước
Tiền Giang,Huyện Cái Bè
Tiền Giang,Huyện Cai Lậy
Tiền Giang,Huyện Châu Thành
Tiền Giang,Huyện Chợ Gạo
Tiền Giang,Huyện Gò Công Tây
Tiền Giang,Huyện Gò Công Đông
Tiền Giang,Huyện Tân Phú Đông
Bến Tre, Bến Tre
Bến Tre,Huyện Châu Thành
Bến Tre,Huyện Chợ Lách
Bến Tre,Huyện Mỏ Cày Nam
Bến Tre,Huyện Giồng Trôm
Bến Tre,Huyện Bình Đại
Bến Tre,Huyện Ba Tri
Bến Tre,Huyện Thạnh Phú
Bến Tre,Huyện Mỏ Cày Bắc
Trà Vinh, Trà Vinh
Trà Vinh,Huyện Càng Long
Trà Vinh,Huyện Cầu Kè
Trà Vinh,Huyện Tiểu Cần
Trà Vinh,Huyện Châu Thành
Trà Vinh,Huyện Cầu Ngang
Trà Vinh,Huyện Trà Cú
Trà Vinh,Huyện Duyên Hải
Trà Vinh,Thị xã Duyên Hải
Vĩnh Long, Vĩnh Long
Vĩnh Long,Huyện Long Hồ
Vĩnh Long,Huyện Mang Thít
Vĩnh Long,Huyện  Vũng Liêm
Vĩnh Long,Huyện Tam Bình
Vĩnh Long,Thị xã Bình Minh
Vĩnh Long,Huyện Trà Ôn
Vĩnh Long,Huyện Bình Tân
Đồng Tháp, Cao Lãnh
Đồng Tháp, Sa Đéc
Đồng Tháp, Hồng Ngự
Đồng Tháp,Huyện Tân Hồng
Đồng Tháp,Huyện Hồng Ngự
Đồng Tháp,Huyện Tam Nông
Đồng Tháp,Huyện Tháp Mười
Đồng Tháp,Huyện Cao Lãnh
Đồng Tháp,Huyện Thanh Bình
Đồng Tháp,Huyện Lấp Vò
Đồng Tháp,Huyện Lai Vung
Đồng Tháp,Huyện Châu Thành
An Giang, Long Xuyên
An Giang, Châu Đốc
An Giang,Huyện An Phú
An Giang,Thị xã Tân Châu
An Giang,Huyện Phú Tân
An Giang,Huyện Châu Phú
An Giang,Huyện Tịnh Biên
An Giang,Huyện Tri Tôn
An Giang,Huyện Châu Thành
An Giang,Huyện Chợ Mới
An Giang,Huyện Thoại Sơn
Kiên Giang, Rạch Giá
Kiên Giang, Hà Tiên
Kiên Giang,Huyện Kiên Lương
Kiên Giang,Huyện Hòn Đất
Kiên Giang,Huyện Tân Hiệp
Kiên Giang,Huyện Châu Thành
Kiên Giang,Huyện Giồng Riềng
Kiên Giang,Huyện Gò Quao
Kiên Giang,Huyện An Biên
Kiên Giang,Huyện An Minh
Kiên Giang,Huyện Vĩnh Thuận
Kiên Giang, Phú Quốc
Kiên Giang,Huyện Kiên Hải
Kiên Giang,Huyện U Minh Thượng
Kiên Giang,Huyện Giang Thành
Cần Thơ,Quận Ninh Kiều
Cần Thơ,Quận Ô Môn
Cần Thơ,Quận Bình Thuỷ
Cần Thơ,Quận Cái Răng
Cần Thơ,Quận Thốt Nốt
Cần Thơ,Huyện Vĩnh Thạnh
Cần Thơ,Huyện Cờ Đỏ
Cần Thơ,Huyện Phong Điền
Cần Thơ,Huyện Thới Lai
Hậu Giang, Vị Thanh
Hậu Giang, Ngã Bảy
Hậu Giang,Huyện Châu Thành A
Hậu Giang,Huyện Châu Thành
Hậu Giang,Huyện Phụng Hiệp
Hậu Giang,Huyện Vị Thuỷ
Hậu Giang,Huyện Long Mỹ
Hậu Giang,Thị xã Long Mỹ
Sóc Trăng, Sóc Trăng
Sóc Trăng,Huyện Châu Thành
Sóc Trăng,Huyện Kế Sách
Sóc Trăng,Huyện Mỹ Tú
Sóc Trăng,Huyện Cù Lao Dung
Sóc Trăng,Huyện Long Phú
Sóc Trăng,Huyện Mỹ Xuyên
Sóc Trăng,Thị xã Ngã Năm
Sóc Trăng,Huyện Thạnh Trị
Sóc Trăng,Thị xã Vĩnh Châu
Sóc Trăng,Huyện Trần Đề
Bạc Liêu, Bạc Liêu
Bạc Liêu,Huyện Hồng Dân
Bạc Liêu,Huyện Phước Long
Bạc Liêu,Huyện Vĩnh Lợi
Bạc Liêu,Thị xã Giá Rai
Bạc Liêu,Huyện Đông Hải
Bạc Liêu,Huyện Hoà Bình
Cà Mau, Cà Mau
Cà Mau,Huyện U Minh
Cà Mau,Huyện Thới Bình
Cà Mau,Huyện Trần Văn Thời
Cà Mau,Huyện Cái Nước
Cà Mau,Huyện Đầm Dơi
Cà Mau,Huyện Năm Căn
Cà Mau,Huyện Phú Tân
Cà Mau,Huyện Ngọc Hiển
